Stop_ID,Stop_Name,Latitude,Longitude,Route_Number,Address,Additional_Info
366459518,UBND Phường 17,10.8384347,106.6794039,Unknown,,platform
2593665743,Công ty Đồng Tâm,10.8419697,106.6434822,Unknown,,yes
3167039162,Đầu Công viên Gia Định,10.8131373,106.6779114,Unknown,,platform
3167039164,Cầu vượt Nguyễn Thái Sơn - Nguyễn Kiệm,10.8162398,106.6804333,Unknown,,platform
3167044461,Ngã ba Phạm Ngũ Lão,10.8196997,106.6831117,Unknown,,platform
3167044462,Trạm Xe Bus UBND Phường 3,10.8199071,106.6831457,Unknown,,platform
3167044467,Cầu vượt Ngã sáu Gò Vấp,10.8237109,106.678986,Unknown,,platform
3167052561,Trường Cao đẳng Hải quan,10.8124847,106.6786928,Unknown,,platform
3168055831,Cầu vượt Ngã sáu Gò Vấp,10.8289815,106.6787703,Unknown,,platform
3168055832,Cầu vượt Ngã sáu Gò Vấp,10.8284951,106.6788602,Unknown,,platform
3168055834,Cư xá Lam Sơn,10.8361073,106.6755947,Unknown,,platform
3168055835,Đài Liệt sĩ,10.8392755,106.6758416,Unknown,,platform
3168057762,Bến Đò,10.8467986,106.6784211,Unknown,,platform
3168057763,Bến Đò,10.8469995,106.6783213,Unknown,,platform
3168057764,Cầu An Lộc,10.8491376,106.6787628,Unknown,,platform
3168915061,Uỷ ban Nhân dân Phường 5,10.825148,106.6879721,Unknown,,platform
3168915062,Bãi hậu cần số 1,10.823964,106.691945,Unknown,,platform
3169694169,Chùa Huỳnh Kim,10.8350641,106.6631358,Unknown,,platform
3169694170,Chợ Hạnh Thông Tây,10.8368656,106.6571176,Unknown,,platform
3169694171,Chợ Hạnh Thông Tây,10.8365939,106.6574207,Unknown,,platform
3169694172,Dệt may Phương Đông,10.8384948,106.650511,Unknown,,platform
3169694173,Dệt may Phương Đông,10.8385076,106.6498331,Unknown,,platform
3169694174,Làng Trẻ em SOS,10.8399431,106.6464594,Unknown,,platform
